2016,"Alcohol, abstainers lifetime (%)",,,abstainers 12 month,,,"Alcohol, consumers past 12 months (%)",,,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized with 95%CI",,
Country, Both sexes, Male, Female, Both sexes, Male, Female, Both sexes, Male, Female, Both sexes, Male, Female
Afghanistan,99.1,98.6,99.6,99.3,99,99.7,0.7,1,0.3,0 [0-0],0 [0-0],0 [0-0]
Albania,25.2,14,35.9,49,35,62.4,51,65,37.6,24.6 [22.1-27.2],39.7 [36.2-43.1],10.1 [8.5-11.8]
Algeria,93.5,90.1,97,96.8,95.2,98.5,3.2,4.8,1.5,0.6 [0.5-0.8],1.1 [0.8-1.4],0.1 [0.1-0.1]
Andorra,10.3,5,15.6,25.4,14.8,35.7,74.6,85.2,64.3,34.9 [32.4-37.5],51.9 [48.7-54.9],17.4 [15.5-19.5]
Angola,33.9,20.6,46.7,52.3,38.4,65.7,47.7,61.6,34.3,37.6 [34.6-40.1],54.1 [51.2-56.2],21.9 [18.7-24.7]
Antigua and Barbuda,27.7,15.5,38.5,50.6,36.1,63.5,49.4,63.9,36.5,23.5 [21.4-25.7],38.8 [35.8-41.8],9.8 [8.4-11.3]
Argentina,6.7,3.1,10,32.6,20.1,44.3,67.4,79.9,55.7,23 [19.1-27.2],37.1 [31.3-42.9],9.3 [7.2-11.9]
Armenia,45.5,29.1,58.7,74,62,83.8,26,38,16.2,11.5 [10.5-12.5],20.8 [19.2-22.4],3.6 [3.1-4.1]
Australia,8.5,4.1,12.9,20.6,11.7,29.4,79.4,88.3,70.6,39.2 [34.7-43.6],57 [51.7-61.9],21.3 [17.6-25.3]
Austria,8.8,4.1,13.2,21.9,12.3,31.1,78.1,87.7,68.9,37.7 [35-40.3],55.3 [52.1-58.4],20 [17.8-22.3]
Azerbaijan,53.2,37.9,67.7,78.1,68.4,87.2,21.9,31.6,12.8,8.2 [7.3-9.1],14.4 [12.9-16],2.1 [1.8-2.4]
Bahamas,33,19.5,45.6,56.2,42.1,69.5,43.8,57.9,30.5,19.6 [17.6-21.6],32.6 [29.7-35.4],7.1 [6-8.3]
Bahrain,84.4,79.6,93.4,91.2,88.5,96.2,8.8,11.5,3.8,2.3 [1.9-2.9],3.4 [2.7-4.2],0.3 [0.2-0.4]
Bangladesh,92.5,88.9,96.1,97.8,96.5,99,2.2,3.5,1,0.8 [0.7-0.9],1.4 [1.3-1.6],0.1 [0.1-0.2]
Barbados,25.1,13.6,35.3,49.5,34.8,62.6,50.5,65.2,37.4,26.4 [24.1-28.6],42.4 [39.3-45.3],11.5 [9.9-13.2]
Belarus,7.5,5.9,8.8,26.4,21,30.8,73.6,79,69.2,28.2 [23.8-32.7],42.3 [36.6-47.8],15 [11.9-18.8]
Belgium,9.4,4.5,14.2,23.5,13.4,33.2,76.5,86.6,66.8,36.6 [34-39.2],54.1 [50.9-57.1],19 [17-21.2]
Belize,34.4,21,47.4,58.5,45.1,71.6,41.5,54.9,28.4,18.7 [16.9-20.6],31.1 [28.4-33.7],6.6 [5.6-7.7]
Benin,69.5,59.3,79.5,73.9,63,84.6,26.1,37,15.4,9.1 [8.2-10.1],16.1 [14.5-17.7],2.3 [1.9-2.7]
Bhutan,64.8,52.5,79.6,70.4,60.2,82.7,29.6,39.8,17.3,10.8 [9.4-12.2],17.5 [15.4-19.7],2.6 [2.2-3.2]
Bolivia (Plurinational State of),12,5.9,17.9,54.6,40.9,68.1,45.4,59.1,31.9,20.9 [17-24.9],34.2 [28.4-39.6],7.7 [5.6-10.3]
Bosnia and Herzegovina,27.4,15.5,39.2,52.1,37.9,66,47.9,62.1,34,22.7 [20.3-25.2],36.4 [33-39.8],8.6 [7.2-10.2]
Botswana,53,38,67.8,68,56,80,32,44,20,18 [16.5-19.5],29.5 [27.4-31.5],6.6 [5.7-7.6]
Brazil,21.4,11.4,30.8,59.7,46,72.7,40.3,54,27.3,19.7 [16.4-23],32.6 [27.7-37.2],7.2 [5.4-9.4]
Brunei Darussalam,38.6,42.2,34.7,66.7,62.7,70.9,33.3,37.3,29.1,9.8 [8.1-11.7],13.9 [11.8-16],5.5 [4.1-7.1]
Bulgaria,13.9,6.8,20.6,34,20.8,46.1,66,79.2,53.9,38.7 [35.5-41.7],56.6 [53-60],20.6 [17.9-23.5]
Burkina Faso,58.5,47.2,69.3,63.1,48.8,76.8,36.9,51.2,23.2,15.7 [14.3-17.2],27.3 [25-29.5],4.8 [4.2-5.6]
Burundi,52.9,37.8,67.4,68.4,56.3,80,31.6,43.7,20,15.7 [14.6-16.8],26.5 [24.8-28.1],5.3 [4.7-6]
Cabo Verde,55.7,44.2,67,66.2,53.1,78.6,39.4,53.8,25,13.5 [12.2-14.8],23.4 [21.4-25.4],4 [3.4-4.6]
Cambodia,45.6,30.3,59.6,69.1,56.8,80.4,30.9,43.2,19.6,10.9 [9.9-12],19.5 [17.7-21.3],3.1 [2.7-3.6]
Cameroon,60.9,48.5,72.8,60.6,46.2,75,33.8,46.9,21.4,17.6 [16-19.2],29.7 [27.3-32.1],5.6 [4.8-6.4]
Canada,12.2,6,18.2,35.5,22.7,47.9,64.5,77.3,52.1,24.2 [22-26.5],38.5 [35.3-41.7],9.8 [8.5-11.3]
Central African Republic,43.7,28.8,58,62.4,49.2,75.1,37.6,50.8,24.9,28.2 [25.6-30.4],42.9 [40-45],14.3 [11.9-16.5]
Chad,72.7,62.8,82.4,77.6,68.3,86.9,22.4,31.7,13.1,7.2 [6.4-8.1],12.8 [11.4-14.2],1.7 [1.5-2]
Chile,6.6,3.1,10.1,32.4,20,44.2,67.6,80,55.8,22.9 [18.9-27.1],36.6 [30.8-42.5],9.1 [7-11.7]
China,42.1,29.1,55.6,44.1,31.4,57.4,55.9,68.6,42.6,23.6 [14.9-32.9],37.1 [24.5-48.9],9.2 [4.8-15.9]
Colombia,26.4,14.8,37.3,61.7,48.3,74.4,38.3,51.7,25.6,15.4 [13.6-17.3],26.3 [23.4-29.1],4.9 [4.1-5.9]
Comoros,93.3,89.8,96.9,95.9,93.8,98.1,4.1,6.2,1.9,0.3 [0.2-0.3],0.5 [0.4-0.6],0 [0-0]
Congo,29.7,17.4,41.8,48.3,34.5,62,51.7,65.5,38,41.7 [38.6-44.2],58.2 [55.4-60.3],25.4 [21.9-28.4]
Cook Islands,24,13.4,34.4,49.4,35.5,63,50.6,64.5,37,39.7 [37.9-41.3],56.4 [54.8-57.7],23.6 [21.6-25.4]
Costa Rica,27.9,16,39.6,63.4,50.5,76.1,36.6,49.5,23.9,14.5 [12.7-16.3],24.5 [21.7-27.3],4.4 [3.6-5.3]
Côte d'Ivoire,56.7,45.7,68.3,61.5,47.7,75.9,38.5,52.3,24.1,17.1 [15.5-18.6],28.4 [26-30.7],5.2 [4.4-6]
Croatia,18.5,9.4,26.8,40.3,26.1,53.2,59.7,73.9,46.8,32.1 [29.2-35],49.1 [45.4-52.6],15.2 [13.1-17.6]
Cuba,29.7,17.3,42.1,53.9,40.1,67.7,46.1,59.9,32.3,22.2 [20.1-24.3],35.7 [32.8-38.6],8.3 [7.1-9.7]
Cyprus,13.6,6.9,20.6,31.2,19.4,43.4,68.8,80.6,56.6,30 [27.6-32.4],45.5 [42.3-48.6],13.3 [11.7-15]
Czechia,9.3,4.4,14,24.6,14,34.6,75.4,86,65.4,47 [43.5-50.4],65.3 [61.7-68.5],28.6 [25.1-32.1]
Democratic People's Republic of Korea,58,44.4,70.8,59.7,46.3,72.3,40.3,53.7,27.7,13.9 [8.2-20.6],23.6 [14.4-33.5],4.3 [2.1-8]
Democratic Republic of the Congo,45.1,30.4,59.6,63.6,50.8,76.2,36.4,49.2,23.8,27.1 [24.6-29.3],41.3 [38.5-43.5],13.4 [11.1-15.6]
Denmark,10.7,5.2,16.1,25.6,15,35.8,74.4,85,64.2,34 [31.5-36.6],51 [47.9-54.1],16.9 [15-18.9]
Djibouti,68.9,56.2,81.6,80.3,71.8,88.9,19.7,28.2,11.1,7.7 [6.9-8.4],13.4 [12.2-14.6],1.9 [1.6-2.2]
Dominica,30.2,17.7,42.5,54.8,41,68.3,45.2,59,31.7,21.9 [19.9-23.9],35.5 [32.7-38.3],8.3 [7.1-9.6]
Dominican Republic,32.8,19.7,45.5,57,43.3,70.3,43,56.7,29.7,19.9 [18-21.8],32.8 [30-35.5],7.2 [6.1-8.4]
Ecuador,11.6,5.7,17.4,53.5,39.7,67.1,46.5,60.3,32.9,21.3 [17.3-25.3],34.8 [28.9-40.3],7.9 [5.7-10.6]
Egypt,94.3,91.2,97.3,97.2,95.8,98.6,2.8,4.2,1.4,0.5 [0.4-0.7],0.9 [0.7-1.2],0.1 [0.1-0.1]
El Salvador,35,20.8,46.8,70.6,58.2,81,29.4,41.8,19,10.4 [9.1-11.8],19.2 [16.9-21.6],3.1 [2.5-3.7]
Equatorial Guinea,14.5,7.5,22,27.1,16.7,38.3,72.9,83.3,61.7,63.1 [59.4-65.9],77.6 [75-79.4],47.3 [42.5-51.2]
Eritrea,68.1,55.1,80.8,79.7,70.8,88.4,20.3,29.2,11.6,8 [7.3-8.8],14.2 [12.9-15.4],2.1 [1.8-2.4]
Estonia,11.6,5.3,16.9,27.2,15.1,37.4,72.8,84.9,62.6,47.4 [42.2-52.3],66.2 [60.8-70.7],29.6 [24.2-35]
Eswatini,55.8,40.8,70.2,71.2,59.6,82.3,28.8,40.4,17.7,16.4 [15-17.7],27.5 [25.5-29.3],6 [5.1-6.9]
Ethiopia,64.7,51.1,78.1,77.4,67.9,86.8,22.6,32.1,13.2,9.7 [8.8-10.5],16.8 [15.5-18.2],2.7 [2.3-3]
Fiji,60.2,46.1,74.7,82.3,74.5,90.2,17.7,25.5,9.8,11.1 [10.4-11.7],18.2 [17.3-19.1],3.7 [3.2-4.1]
Finland,11.4,5.5,17.1,27.5,16.2,38.3,72.5,83.8,61.7,33.3 [30.8-35.7],50.1 [46.9-53.1],16.2 [14.4-18.1]
France,9.8,4.7,14.6,24.7,14.2,34.4,75.3,85.8,65.6,36 [33.4-38.6],53.7 [50.5-56.8],18.7 [16.7-20.9]
Gabon,18.3,9.7,27.1,33.5,21.4,45.9,66.5,78.6,54.1,56.7 [53.2-59.4],72.6 [70-74.5],40.5 [36.1-44.2]
Gambia,68.5,58.1,78.4,73.3,62.2,83.8,26.7,37.8,16.2,9.5 [8.5-10.5],17 [15.3-18.6],2.5 [2.1-2.9]
Georgia,33.9,19.8,46.3,64.9,51.1,77,35.1,48.9,23,18.5 [17.1-19.8],30.9 [28.8-32.8],6.7 [5.9-7.6]
Germany,7.9,3.7,12,20.6,11.5,29.4,79.4,88.5,70.6,39.7 [37-42.5],57.6 [54.3-60.7],21.8 [19.5-24.3]
Ghana,69.5,58.9,79.6,74,63.2,84.3,26,36.8,15.7,8.9 [7.9-9.9],15.8 [14.2-17.4],2.3 [1.9-2.6]
Greece,15,7.4,22,34.6,21.7,46.7,65.4,78.3,53.3,28.2 [25.9-30.6],44 [40.8-47.2],12.5 [10.9-14.1]
Grenada,26.6,15.1,38,50.4,36.4,64.3,49.6,63.6,35.7,25.2 [23-27.4],39.9 [36.9-42.8],10.2 [8.8-11.8]
Guatemala,38.2,23.9,51.2,72.7,61.4,83.1,27.3,38.6,16.9,9.1 [7.9-10.4],16.5 [14.4-18.7],2.4 [2-3]
Guinea,73.6,64,83.2,78.4,69.3,87.4,21.6,30.7,12.6,6.8 [6-7.6],12 [10.7-13.4],1.6 [1.3-1.9]
Guinea-Bissau,66.1,55.1,76.8,71.2,59.5,82.5,28.8,40.5,17.5,10.8 [9.7-11.9],18.9 [17.1-20.6],2.9 [2.5-3.3]
