Name,Alternative name,Alternative name,WHO Region,continent,Country Code,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Government Type,Capital City,Latitude of Capital,Longitude of Capital,GDP - real growth rate,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Military expenditures,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Education expenditures,"Unemployment, youth ages 15-24",year,life_exp,hdi_index,co2_consump,gdp,services,happiness_score,gdp_per_capita,cpi_corruption_score,health,freedom,generosity,government_trust,dystopia_residual,Year,social_support,abstainers lifetime Both sexes,abstainers lifetime Male,abstainers lifetime Female,abstainers 12m Both sexes,abstainers 12m Male,abstainers 12m Female,consumers 12m,consumers 12m Male,consumers 12m Female,heavy both,heavy male,heavy female,alcohol death both,alcohol death Male,alcohol death female,alcohol cancer death Male,alcohol cancer death Female,alcohol liver cirrhosis death Male,alcohol liver cirrhosis death Female,alcohol traffic death Male,alcohol traffic death Female,Alcohol-attributable Years of Life Lost (YLL) score,consumption Both sexes,consumption Male,consumption Female,consumption drinkers Both sexes,consumption drinkers Male,consumption drinkers Female
Afghanistan,,,Eastern Mediterranean,Asia,AF,205830,528.741,7833,20.122,Islamic republic,Kabul,34 31 N,69 11 E,2.7,"$2,000 ",-1.9,23.9,29.4,11.2,-15.1,7,5,unknown,15,0.99,19,2.37,37.5,13.2,-0.6,638,108.5,52.1,5.02,5.5,4.1,17.6,2018,62.7,0.509,0.254,569,38.4,2.566900015,0.30070585,19,0.266051531,0,0.135234714,0.001225785,1.507235646,2020,0.356433839,99.1,98.6,99.6,99.3,99,99.7,0.7,1,0.3,0 [0-0],0 [0-0],0 [0-0],0.2,0.3,0.1,0.5,0.1,5.5,1.1,0.7,0.5,1,0.2 [0-0.6],0.4 [0-1],0.1 [0-0.2],24.4 [29.3-],27.7 [33.2-],10.4 [12.5-]
Albania,,,Europe,Europe,AL,332216,11544.096,3594,124.887,parliamentary democracy,Tirana,41 19 N,19 49 E,3.8,"$12,500 ",6.8,13.8,29,27.6,-2,71.8,2,1.25,8.22,1.26,33.4,0.3,13.2,6.9,-3.3,15,11.6,78.6,1.52,21.7,4,31.9,2018,78.4,0.792,1.59,4430,43,4.882699966,0.906653047,36,0.846329629,0.461945891,0.171027765,0.025361285,1.640897036,2020,0.830483913,25.2,14,35.9,49,35,62.4,51,65,37.6,24.6 [22.1-27.2],39.7 [36.2-43.1],10.1 [8.5-11.8],6.4,8.5,3.7,4.9,2.4,70.3,45.6,37.9,28,3,7.2 [5.9-8.7],11.6 [9.8-14.5],2.7 [1.9-2.9],13.8 [15.1-],18.2 [20-],6.5 [7.2-]
Algeria,,,Africa,Africa,DZ,271079,618.181,6881,15.692,republic,Algiers,36 45 N,3 03 E,1.4,"$15,200 ",0.6,11.7,35.3,32.3,-9.6,27.5,5.6,4,8,5.27,28.3,1.63,21.5,4.3,-0.9,112,18.9,77.2,2.66,27.4,unknown,25.7,2018,76,0.746,3.69,4160,59.6,5.005099773,0.943856001,36,0.745418549,0.083943799,0.118915014,0.129190654,1.840811729,2020,1.143003583,93.5,90.1,97,96.8,95.2,98.5,3.2,4.8,1.5,0.6 [0.5-0.8],1.1 [0.8-1.4],0.1 [0.1-0.1],1,1.6,0.4,1.1,0.2,22.7,7,3.1,2,1,0.9 [0.6-1.5],1.6 [1-2.6],0.3 [0.2-0.4],25.8 [28.6-],30.6 [33.9-],11 [12.2-]
American Samoa,,,Western Pacific,,,8263,14970.016,34,61.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,Europe,,AD,46824,60601.825,156,201.903,parliamentary democracy,Andorra la Vella,42 30 N,1 31 E,-1.1,"$49,900 ",unknown,3.7,unknown,69,-6.9,41,-0.9,unknown,unknown,unknown,44.9,-0.01,7.3,7.4,0,unknown,3.6,82.9,1.41,25.6,3.2,unknown,,,,,,,,,,,,,,,,,10.3,5,15.6,25.4,14.8,35.7,74.6,85.2,64.3,34.9 [32.4-37.5],51.9 [48.7-54.9],17.4 [15.5-19.5],No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,11 [10.2-13.4],17.2 [16.1-21.1],5.2 [4.6-6.1],14.5 [15.4-],20.2 [21.5-],7 [7.5-]
Angola,,,Africa,Africa,AO,104676,318.491,1924,5.854,republic,Luanda,8 50 S,13 13 E,-2.5,"$6,800 ",2.5,6.6,42.7,29.3,-6.7,65,29.8,9,15.82,1.78,15.9,3.49,43.7,9,0.1,241,65.8,60.6,6.09,8.2,3.4,39.4,2018,64.6,0.582,1.12,3600,42.1,,,,,,,,,,,33.9,20.6,46.7,52.3,38.4,65.7,47.7,61.6,34.3,37.6 [34.6-40.1],54.1 [51.2-56.2],21.9 [18.7-24.7],6.8,10.4,2.6,8.1,2.4,60.9,40,48.7,42,5,6.9 [5.7-8.2],11.1 [9.2-13.3],3.1 [2.4-3.5],13.2 [14.2-],17 [18.3-],6.4 [6.9-]
Anguilla,,,Americas,,,3866,25769.897,12,79.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,Americas,,AG,9106,9298.573,146,149.088,constitutional monarchy,Saint John's,17 07 N,61 51 W,2.8,"$26,400 ",6.8,11,unknown,19.6,-2.4,86.8,2.5,6.5,9.31,unknown,32.2,1.2,15.6,5.8,2.1,unknown,11.7,76.9,1.99,18.9,2.5,unknown,,,,,,,,,,,,,,,,,27.7,15.5,38.5,50.6,36.1,63.5,49.4,63.9,36.5,23.5 [21.4-25.7],38.8 [35.8-41.8],9.8 [8.4-11.3],4.5,7.2,1.5,3.7,2.4,67.6,45.9,37.2,21.7,3,6.4 [10.4-13.5],10.3 [17-22.1],2.9 [4.3-5.7],13.9 [15-],18.5 [20-],6.6 [7.2-]
Argentina,,,Americas,South America,AR,9727247,21522.47,130025,287.693,republic,Buenos Aires,34 35 S,58 40 W,2.9,"$20,900 ",2.7,8.4,41.7,18.9,-6,57.6,25.7,unknown,26.58,0.86,31.9,0.89,16.5,7.5,-0.1,39,9.5,77.5,2.25,28.3,5.5,22.6,2018,76.5,0.842,4.41,13100,78,5.974699974,1.028465629,42,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998,2020,1.372543693,6.7,3.1,10,32.6,20.1,44.3,67.4,79.9,55.7,23 [19.1-27.2],37.1 [31.3-42.9],9.3 [7.2-11.9],4.4,7.2,1.3,6.5,2.7,72.3,54.2,40.2,20.8,3,9.7 [8.1-10.8],14.9 [12.7-16.9],4.7 [3.8-5.1],14.6 [15.5-],20 [21.3-],7.1 [7.6-]
Armenia,,,Europe,Asia,AM,445737,15042.248,8710,293.936,republic,Yerevan,40 10 N,44 30 E,7.5,"$9,500 ",5.4,18.9,31.5,22.9,-4.8,53.5,0.9,6.5,14.41,4.25,35.6,-0.25,12.6,9.5,-5.6,26,12.3,75.1,1.64,20.2,2.7,36.3,2018,75.6,0.771,1.89,4050,51.1,4.676799774,0.808262408,49,0.77585727,0.378075808,0.107225738,0.104618184,1.468161583,2020,1.034576893,45.5,29.1,58.7,74,62,83.8,26,38,16.2,11.5 [10.5-12.5],20.8 [19.2-22.4],3.6 [3.1-4.1],6,8.7,3.3,5,1.8,69.2,34.7,26.1,19.2,3,5.6 [4.2-6.8],9.1 [7.3-11.6],2.6 [1.7-2.7],21.2 [23.1-],27.2 [29.7-],9.6 [10.5-]
