index,country,WHO region,continent,COVID cases/100k,deaths_per_100k,gov_type,capital city latitude,capital city latitude raw,GDP real growth rate,unemployment rate,gini index,inflation rate,median age,total fertility rate,life expectancy,HDI index,GDP per capita,happiness score,corruption index(cpi),abstainer(lifetime),abstain_lt_m,abstain_lt_f,abstainer(12 month),abstain_12m_m,abstain_12m_f,consumer(12 month),consumer gender ratio(male/female),consumers_12m_m,consumers_12m_f,heavy episodic drinking(30 days),heavy_12m_m,heavy_12m_f,alcohol attributable death,alc_death_m,alc_death_f,years of life lost by alcohol,alcohol consumption,alc_csm_m,alc_csm_f,alcohol consumption(drinkers only),alc_csm_dr_m,alc_csm_dr_f,gender gap index,ggi_polit,ggi_econ,ggi_edu,ggi_health,work hours (unpaid+paid+study),upw_f,upw_m,pc_f,pc_m,leis_f,leis_m,oth_time_f,oth_time_m,pws_f,pws_m,health
0,Afghanistan,Eastern Mediterranean,Asia,528.741,20.122,Islamic republic,34.51666667,34 31 N,2.7,23.9,29.4,5,19,5.02,62.7,0.509,569,2.566900015,19,99.1,98.6,99.6,99.3,99,99.7,0.7,3.333333333,1,0.3,0,0,0,0.2,0.3,0.1,1,0.2,0.4,0.1,24.4,27.7,10.4,0.4395,0.132,0.178,0.498,0.952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.266051531
193,Zimbabwe,Africa,Africa,1743.695,37.812,parliamentary democracy,17.81666667,17 49 S,3.7,11.3,43.2,0.9,20.2,3.97,60.6,0.569,1510,3.299200058,24,71,58.4,82.8,82.4,74.3,90,17.6,2.57,25.7,10,8.3,14.6,2.3,3.1,4.9,1.2,4,4.7,8,1.6,25.4,31,11.7,0.733,0.206,0.7645,0.983,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.375037611
145,Rwanda,Africa,Africa,1025.014,11.326,republic,1.95,1 57 S,6.1,2.7,50.4,4.8,19.2,3.75,68.3,0.54,830,3.312299967,54,48.8,33.2,62.4,65,51.6,76.6,35,2.068376068,48.4,23.4,17.9,30.9,6.9,6.7,9.9,3.2,4,9,14.8,3.5,24.2,31.1,11.7,0.808,0.563,0.7365,0.9585,0.974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.572383285
184,United Republic of Tanzania,Africa,Africa,68.061,1.415,republic,6.8,6 48 S,6,10.3,37.6,5.3,17.9,4.71,66.7,0.524,959,3.476200104,38,47.1,32.2,61.6,63.6,50.7,76,36.4,2.054166667,49.3,24,19.4,31.9,7.2,7.3,10.9,3.1,5,11.3,18.8,4.1,24.7,31.2,11.7,0.713,0.24,0.704,0.939,0.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.442677855
22,Botswana,Africa,Africa,13887.959,118.301,parliamentary republic,24.63333333,24 38 S,2.4,20,60.5,3.3,24.9,2.53,61.8,0.73,7170,3.478899956,60,53,38,67.8,68,56,80,32,2.2,44,20,18,29.5,6.6,5.7,9,2.1,4,6.6,10.9,2.5,25.6,31.9,11.7,0.7175,0.0845,0.8045,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.494101733
191,Yemen,Eastern Mediterranean,Asia,40.049,7.239,republic,15.35,15 21 N,-5.9,27,37.9,24.7,19.8,3.48,66.1,0.468,1290,3.527400017,15,99,98.5,99.5,99.3,98.9,99.7,0.7,3.666666667,1.1,0.3,0,0,0,0.1,0.2,0,1,0.1,0.1,0,7.3,8.6,3.2,0.492,0.001,0.282,0.717,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.41500017
104,Malawi,Africa,Africa,460.445,14.036,multiparty democracy,13.96666667,13 58 S,4,20.4,46.1,12.2,16.6,5.43,64.1,0.478,391,3.538000107,30,63.2,49.2,76.9,76.3,66.4,86.1,23.7,2.417266187,33.6,13.9,10.4,18,2.9,3,4.5,1.1,3,3.6,6,1.4,14.7,18,6.8,0.6515,0.164,0.622,0.8395,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.446163297
78,India,South-East Asia,Asia,3237.116,38.451,federal republic,28.6,28 36 N,6.7,8.5,35.2,3.6,28.1,2.4,70.5,0.642,1920,3.573299885,40,53.5,39.1,68.8,61.2,48.6,74.6,38.8,2.023622047,51.4,25.4,17,27.8,5.4,5.4,8.6,1.5,4,5.5,9,1.9,13.7,17.2,6.2,0.627,0.2715,0.338,0.9615,0.937,489.488646,351.9353,51.767242,669.86035,702.77191,220.94849,282.64328,12.552157,12.246449,184.70367,390.57108,0.54057014
74,Haiti,Americas,North America,296.75,7.542,republic,18.53333333,18 32 N,1.2,40.6,60.8,14.7,23.3,2.66,63.5,0.508,1410,3.720799923,18,40.4,25.9,54.2,64.9,52.1,77.1,35.1,2.091703057,47.9,22.9,14.9,25.6,4.8,4.4,6.8,1.5,4,2.7,4.5,1.1,15.7,19.9,7.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37436673
192,Zambia,Africa,Africa,1815.338,21.861,republic,15.41666667,15 25 S,3.4,15,57.5,6.6,16.8,5.58,62.5,0.582,1370,3.759399891,33,58.7,44.2,73,72.7,61.7,83.5,27.3,2.321212121,38.3,16.5,12.6,21.6,3.8,4.2,6.4,1.6,4,6.5,10.6,2.6,17,21,7.9,0.7245,0.1765,0.8035,0.938,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.36359334
