id	country	total	beer	wine	sprites
4	Afghanistan	0.20999999344348900	0.01	0	0
8	Albania	7.690000057220460	1.71	1.08	1.97
10	Antarctica				
12	Algeria	0.6499999761581420	0.18	0.13	0.04
24	Angola	8.15999984741211	4.23	0.85	2.36
31	Azerbaijan	2.9700000286102300	0.27	0.21	0.51
32	Argentina	9.09000015258789	3.32	3.91	0.45
36	Australia	12.390000343322800	4.51	3.87	1.3
40	Austria	12.199999809265100	6.1	4.3	1.7
44	Bahamas	4.119999885559080	3.48	1.31	3.98
50	Bangladesh	0.1599999964237210	0	0	0
51	Armenia	5.690000057220460	0.4	0.24	3.58
56	Belgium	11.399999618530300	5.03	3.72	1.48
64	Bhutan	0.9200000166893010	0.11	0.01	0.11
68	Bolivia	5.559999942779540	2.63	0.16	0.56
70	Bosnia and Herzegovina	7.320000171661380	3.39	0.44	0.61
72	Botswana	8.619999885559080	2.48	0.5	0.67
76	Brazil	8.489999771118160	4.2	0.3	2.63
84	Belize	7.079999923706060	4.33	0.24	1.75
90	Solomon Islands	1.600000023841860	0.99	0.03	0.07
96	Brunei	0.5099999904632570	0.19	0.01	0.05
100	Bulgaria	11.319999694824200	4	1.11	4.67
104	Myanmar	2.9000000953674300	0.15	0.01	0.81
108	Burundi	7.659999847412110	1.63	0	0
112	Belarus	17.43000030517580	2.37	0.75	5.94
116	Cambodia	4.909999847412110	1.75	0.01	0.39
120	Cameroon	8.430000305175780	2.58	0.1	0
124	Canada	10.100000381469700	4.2	1.9	2.1
140	Central African Republic	3.9800000190734900	0.31	0.02	0.04
144	Sri Lanka	3.9200000762939500	0.3	0	1.97
148	Chad	6.579999923706060	0.32	0.05	0.03
152	Chile	9.3100004196167	2.35	3.1	2.1
156	China	7.070000171661380	1.67	0.17	3.91
158	"Taiwan, Province of China"				
170	Colombia	5.039999961853030	2.87	0.05	1.28
178	Congo	6.170000076293950	3.33	0.22	0.46
180	Democratic Republic of Congo	1.75	0.6	0.01	0.02
188	Costa Rica	4.800000190734860	2.09	0.32	1.29
191	Croatia	10.079999923706100	4.48	5.02	1.21
192	Cuba	5.019999980926510	1.62	0.2	2.44
196	Cyprus	11.350000381469700	3.79	2.67	4.87
203	Czechia	14.0600004196167	6.72	2.71	3.26
204	Benin	2.4700000286102300	0.7	0.18	0.17
208	Denmark	11	3.86	4.92	1.44
214	Dominican Republic	6.110000133514400	2.68	0.15	2.64
218	Ecuador	6.159999847412110	2.67	0.07	1.21
222	El Salvador	3.309999942779540	0.92	0.06	1.32
226	Equatorial Guinea	9.199999809265140	4.56	2.63	1.73
231	Ethiopia	2.5	0.28	0	0.1
232	Eritrea	1.3799999952316300	0.68	0	0
233	Estonia	12.390000343322800	5.87	1.65	5.64
238	Falkland Islands (Malvinas)				
242	Fiji	3	1.35	0.18	0.88
246	Finland	12.59000015258790	4.47	1.86	1.5
250	France	12.399999618530300	2.18	7.27	2.65
260	French Southern Territories				
262	Djibouti	0.6700000166893010	0.22	0.03	0.22
