id	Country	total	beer	wine	sprites
4	Afghanistan	0.20999999344348900	0	0	0
8	Albania	6.739999771118160	1.48	1.1	1.68
10	Antarctica				
12	Algeria	0.9300000071525570	0.31	0.17	0.07
24	Angola	7.960000038146970	3.25	1.1	2.07
31	Azerbaijan	4.579999923706060	0.3	0.14	0.07
32	Argentina	9.550000190734860	3.39	3.41	0.82
36	Australia	10.829999923706100	3.76	3.8	1.22
40	Austria	12.069999694824200	6.1	3.6	1.9
44	Bahamas	4.550000190734860	3.65	1.39	3.86
50	Bangladesh	0.020999999716877900	0	0	0
51	Armenia	5.840000152587890	0.49	0.22	3.33
56	Belgium	11.819999694824200	4.6	3.97	1.47
64	Bhutan	0.41999998688697800	0.04	0	0
68	Bolivia	4.639999866485600	2.36	0.13	0.59
70	Bosnia and Herzegovina	6.920000076293950	3.72	0.46	0.56
72	Botswana	6.860000133514400	3.33	0.29	0.88
76	Brazil	7.860000133514400	4.1	0.24	2.26
84	Belize	6.739999771118160	4.25	0.68	1.64
90	Solomon Islands	1.5499999523162800	0.93	0.05	0.02
96	Brunei	0.46000000834465000	0.66	0.01	0
100	Bulgaria	12.34000015258790	4.22	1.95	4.62
104	Myanmar	4.409999847412110	0.37	0.01	1.08
108	Burundi	7.03000020980835	1.76	0	0
112	Belarus	12	2	0.75	4.24
116	Cambodia	6.369999885559080	2.93	0.02	0.4
120	Cameroon	6.170000076293950	2.82	0.16	0.01
124	Canada	8.880000114440920	3.7	2	2
140	Central African Republic	2.430000066757200	0.53	0.02	0.02
144	Sri Lanka	4.099999904632570	0.36	0.01	2.31
148	Chad	1.4500000476837200	0.48	0.01	0.01
152	Chile	9.260000228881840	2.85	2.61	2.43
156	China	7.150000095367430	1.73	0.19	3.74
158	"Taiwan, Province of China"				
170	Colombia	5.78000020980835	3.2	0.05	0.9
178	Congo	7.900000095367430	3.87	0.13	0.45
180	Democratic Republic of Congo	2.049999952316280	0.55	0.01	0.04
188	Costa Rica	4.760000228881840	2.26	0.15	0.35
191	Croatia	9.069999694824220	4.55	3.76	1.33
192	Cuba	5.670000076293950	1.8	0.22	2.61
196	Cyprus	10.760000228881800	2.85	2.72	4.02
203	Czechia	14.25	6.87	2.66	3.23
204	Benin	2.9700000286102300	1.03	0.07	0.2
208	Denmark	10.359999656677200	3.45	4.26	1.65
214	Dominican Republic	6.610000133514400	2.85	0.11	2.35
218	Ecuador	4.980000019073490	2.99	0.06	0.62
222	El Salvador	3.5899999141693100	1.16	0.05	1.32
226	Equatorial Guinea	9.079999923706060	5.75	1.18	1.12
231	Ethiopia	2.190000057220460	0.59	0.01	0.15
232	Eritrea	1.4199999570846600	0.52	0	0
233	Estonia	12.390000343322800	6	2.25	6.47
238	Falkland Islands (Malvinas)				
242	Fiji	3.3299999237060500	1.61	0.25	0.77
246	Finland	11.180000305175800	4.13	1.75	1.18
