Country	id	total	beer	wine	sprites
Afghanistan	4	0.20999999344348900	0	0	0.01
Albania	8	7.170000076293950	1.75	1.12	1.5
Antarctica	10				
Algeria	12	0.949999988079071	0.31	0.2	0.08
Angola	24	6.940000057220460	3.78	0.64	1.65
Azerbaijan	31	4.409999847412110	0.34	0.15	0.39
Argentina	32	9.649999618530270	3.62	2.88	0.72
Australia	36	10.510000228881800	3.71	3.67	1.32
Austria	40	11.960000038147000	6.1	3.6	1.9
Bahamas	44	4.78000020980835	3.66	1.3	4.04
Bangladesh	50	0.01899999938905240	0	0	0
Armenia	51	5.550000190734860	0.52	0.33	2.83
Belgium	56	11.079999923706100	4.4	3.41	1.1
Bhutan	64	0.4300000071525570	0.01	0.05	0
Bolivia	68	4.429999828338620	2.22	0.14	0.56
Bosnia and Herzegovina	70	7.150000095367430	4.19	0.47	0.61
Botswana	72	6.590000152587890	2.93	0.36	0.96
Brazil	76	7.420000076293950	3.84	0.24	2.07
Belize	84	6.21999979019165	3.88	0.7	1.24
Solomon Islands	90	1.8300000429153400	1.1	0.05	0.02
Brunei	96	0.47999998927116400	0.66	0.04	0
Bulgaria	100	12.649999618530300	4.44	2.07	4.85
Myanmar	104	5.119999885559080	0.5	0.02	1.33
Burundi	108	7.190000057220460	1.84	0	0
Belarus	112	11.449999809265100	2.18	0.9	4.52
Cambodia	116	6.639999866485600	4.12	0.02	0.42
Cameroon	120	5.650000095367430	2.36	0.17	0.01
Canada	124	8.9399995803833	3.6	2.1	2.1
Central African Republic	140	2.380000114440920	0.55	0.04	0.02
Sri Lanka	144	4.099999904632570	0.22	0.01	2.32
Chad	148	1.3700000047683700	0.37	0.01	0.01
Chile	152	9.069999694824220	2.76	2.61	2.43
China	156	7.050000190734860	1.66	0.19	2.92
"Taiwan, Province of China"	158				
Colombia	170	5.739999771118160	3.09	0.06	1.04
Congo	178	9.270000457763670	5.11	0.05	0.47
Democratic Republic of Congo	180	2	0.5	0.01	0.03
Costa Rica	188	4.869999885559080	2.39	0.16	0.33
Croatia	191	9.229999542236330	4.75	3.52	1.36
Cuba	192	5.829999923706060	1.77	0.23	2.76
Cyprus	196	10.8100004196167	2.85	2.72	4.02
Czechia	203	14.449999809265100	6.77	2.73	3.24
Benin	204	2.809999942779540	0.81	0.04	0.2
Denmark	208	10.260000228881800	3.45	4.22	1.65
Dominican Republic	214	6.679999828338620	3.15	0.17	2.2
Ecuador	218	4.199999809265140	2.32	0.08	0.59
El Salvador	222	3.890000104904180	1.5	0.05	1.38
Equatorial Guinea	226	7.230000019073490	3.83	0.94	1.2
Ethiopia	231	2.359999895095830	0.92	0	0.17
Eritrea	232	1.440000057220460	0.42	0	0
Estonia	233	9.229999542236330	3.61	1.9	4.32
Falkland Islands (Malvinas)	238				
Fiji	242	3.319999933242800	1.64	0.27	0.79
Finland	246	10.779999732971200	3.97	1.72	1.1
France	250	12.329999923706100	2.43	6.29	2.35
French Southern Territories	260				
Djibouti	262	0.4300000071525570	0.09	0.02	0.14
Gabon	266	8.739999771118160	5.31	0.64	0.67
Georgia	268	8.25	1.71	2.94	2.58
Gambia	270	3.549999952316280	0.21	0	0.02
Germany	276	12.90999984741210	5.67	3.13	2.08
Ghana	288	2.75	0.53	0.06	0.39
Greece	300	10.180000305175800	2.13	2.75	1.48
Greenland	304				
Guatemala	320	2.450000047683720	0.9	0.05	0.68
Guinea	324	1.1100000143051100	0.29	0.01	0.03
Guyana	328	6.889999866485600	2.75	0.04	2.32
Haiti	332	2.7300000190734900	0.55	0.03	2.53
Honduras	340	3.759999990463260	1.6	0.04	1.2
Hungary	348	11.350000381469700	3.96	3.33	3.5
Iceland	352	9.119999885559080	4.39	2.11	1.22
India	356	5.539999961853030	0.23	0	2.81
Indonesia	360	0.5699999928474430	0.06	0.01	0.01
Iran	364	1.0299999713897700	0	0	0.03
Iraq	368	0.38999998569488500	0.12	0	0.04
Ireland	372	12.880000114440900	5.1	2.89	2.31
Israel	376	4.210000038146970	1.78	0.08	1.15
Italy	380	7.840000152587890	1.94	5.08	0.79
Cote d'Ivoire	384	2.7100000381469700	1.13	0.37	0.16
Jamaica	388	4.21999979019165	1.19	0.3	1.69
Japan	392	7.960000038146970	1.35	0.39	1.63
Kazakhstan	398	4.760000228881840	2.44	0.18	1.54
Jordan	400	0.6899999976158140	0.06	0	0.2
Kenya	404	2.7799999713897700	0.81	0.02	0.83
North Korea	408	3.799999952316280	0.12	0	3.48
South Korea	410	9.699999809265140	1.72	0.15	0.22
Kuwait	414	0.003000000026077030	0	0	0
Kyrgyzstan	417	6.260000228881840	0.45	0.25	3.72
Laos	418	10.720000267028800	3.62	0.08	4.46
Lebanon	422	1.7100000381469700	0.38	0.23	0.58
Lesotho	426	4.590000152587890	1.98	0.29	0.31
Latvia	428	12.770000457763700	5.3	1.6	5.3
Liberia	430	6.119999885559080	0.38	0.29	2.28
Libya	434	0.01899999938905240	0	0.01	0
Lithuania	440	13.220000267028800	4.59	0.82	4.88
Luxembourg	442	12.9399995803833	4.05	4.71	2.22
Madagascar	450	1.9700000286102300	0.5	0.07	0.32
Malawi	454	3.630000114440920	0.08	0	0.25
Malaysia	458	0.8500000238418580	0.48	0.05	0.12
Mali	466	1.2799999713897700	0.09	0.01	0.02
Mauritania	478	0.035999998450279200	0	0	0
Mexico	484	5	3.72	0.19	0.19
Mongolia	496	8.1899995803833	2.23	1.57	1.92
Moldova	498	11.430000305175800	1.53	3.57	2.25
Montenegro	499	11.470000267028800	3.83	2.67	3.14
Morocco	504	0.6899999976158140	0.18	0.21	0.08
Mozambique	508	2.299999952316280	1.03	0.22	0.2
Oman	512	0.7799999713897710	0.17	0.02	0.29
Namibia	516	5.429999828338620	1.37	0.16	0.61
Nepal	524	2.049999952316280	0.22	0	0.13
Netherlands	528	9.609999656677250	3.99	2.93	1.41
New Caledonia	540				
Vanuatu	548	2.25	0.34	0.42	0.87
New Zealand	554	10.630000114440900	3.39	2.94	1.56
Nicaragua	558	5.179999828338620	1.57	0.02	2.17
Niger	562	0.6700000166893010	0.04	0.01	0.06
Nigeria	566	10.84000015258790	0.73	0.09	0.36
Norway	578	7.409999847412110	2.66	2.2	0.97
Pakistan	586	0.3400000035762790	0	0	0.04
Panama	591	7.980000019073490	5.29	0.01	1.24
Papua New Guinea	598	1.3899999856948900	0.6	0.06	0.6
Paraguay	600	7.579999923706060	3.27	0.6	1.6
Peru	604	6.380000114440920	3.01	0.46	2.26
Philippines	608	6.860000133514400	1.47	0.03	3.4
Poland	616	11.710000038147000	5.9	0.85	3.88
Portugal	620	12.029999732971200	2.62	6.04	1.34
Guinea-Bissau	624	5.380000114440920	0.41	1.08	0.54
Timor	626	2.1700000762939500	0.27	0.1	0.05
Puerto Rico	630				
Qatar	634	1.590000033378600	0.29	0.08	0.61
Romania	642	11.739999771118200	5.33	3.38	2.25
Russia	643	11.1899995803833	3.03	0.97	3.16
Rwanda	646	8.949999809265140	0.23	0.03	0.09
Saudi Arabia	682	0.1899999976158140	0	0	0
Senegal	686	0.7599999904632570	0.21	0.02	0.02
Serbia	688	8.75	3.24	1.8	2.34
Sierra Leone	694	5.699999809265140	0.17	0	0.15
Slovakia	703	11.140000343322800	3.43	2.25	4.38
Vietnam	704	8.65999984741211	3.18	0.02	0.23
Slovenia	705	11.899999618530300	4.66	4.13	1.2
Somalia	706	0.008999999612569810	0	0	0
South Africa	710	9.520000457763670	3.9	1.32	1.3
Zimbabwe	716	4.670000076293950	1.2	0.04	0.39
Spain	724	12.720000267028800	4.57	3.33	2.3
South Sudan	728				
Sudan	729	0.5099999904632570			
Western Sahara	732				
Suriname	740	5.329999923706060	3.4	0.12	2.31
Swaziland	748				
Sweden	752	8.930000305175780	2.69	3.38	1
Switzerland	756	11.529999732971200	3.17	4.23	1.65
Syria	760	0.23999999463558200	0.02	0	0.14
Tajikistan	762	3.2799999713897700	0.38	0.01	0.46
Thailand	764	8.300000190734860	1.79	0.2	4
Togo	768	2.4600000381469700	0.78	0.09	0.2
Trinidad and Tobago	780	6.71999979019165	2.92	0.18	2.49
United Arab Emirates	784	3.9000000953674300	0.22	0.15	1.73
Tunisia	788	2.119999885559080	0.99	0.32	0.16
Turkey	792	2.049999952316280	0.67	0.16	0.35
Turkmenistan	795	4.929999828338620	0.65	1.27	1.03
Uganda	800	15.09000015258790	0.85	0.01	0.66
Ukraine	804	8.319999694824220	2.44	0.31	2.64
North Macedonia	807	6.159999847412110	1.93	1.03	0.89
Egypt	818	0.36000001430511500	0.09	0.01	0.04
United Kingdom	826	11.449999809265100	3.57	3.44	2.39
Tanzania	834	11.270000457763700	0.74	0.09	0.35
United States	840	9.869999885559080	3.97	1.67	3.29
Burkina Faso	854	12.029999732971200	1	0.06	0.31
Uruguay	858	6.920000076293950	1.98	3.5	0.73
Uzbekistan	860	2.5899999141693100	0.18	0.08	2.18
Venezuela	862	4.139999866485600	1.54	0.01	1.04
Yemen	887	0.050999999046325700	0.02	0	0
Zambia	894	6.539999961853030	1.26	0.04	0.25
