Country,id,Type,Drinks
Afghanistan,4,Beer,
Albania,8,Beer,34.3
Antarctica,10,Beer,
Algeria,12,Beer,57.3
Angola,24,Beer,70.3
Azerbaijan,31,Beer,61.5
Argentina,32,Beer,39.9
Australia,36,Beer,39.9
Austria,40,Beer,53.5
Bahamas,44,Beer,39.2
Bangladesh,50,Beer,
Armenia,51,Beer,10.6
Belgium,56,Beer,44.4
Bhutan,64,Beer,46.2
Bolivia,68,Beer,72.8
Bosnia and Herzegovina,70,Beer,75.8
Botswana,72,Beer,48.1
Brazil,76,Beer,61.8
Belize,84,Beer,69.1
Solomon Islands,90,Beer,93.3
Brunei,96,Beer,100
Bulgaria,100,Beer,38.8
Myanmar,104,Beer,22.4
Burundi,108,Beer,39.3
Belarus,112,Beer,22.8
Cambodia,116,Beer,88.1
Cameroon,120,Beer,43.5
Canada,124,Beer,45.1
Central African Republic,140,Beer,25.9
Sri Lanka,144,Beer,13.2
Chad,148,Beer,70.2
Chile,152,Beer,36.1
China,156,Beer,29.6
"Taiwan, Province of China",158,Beer,
Colombia,170,Beer,71.3
Congo,178,Beer,84.4
Democratic Republic of Congo,180,Beer,38.9
Costa Rica,188,Beer,64.1
Croatia,191,Beer,44.5
Cuba,192,Beer,37.3
Cyprus,196,Beer,29.7
Czechia,203,Beer,53.3
Benin,204,Beer,63.7
Denmark,208,Beer,37.4
Dominican Republic,214,Beer,52.2
Ecuador,218,Beer,79.9
El Salvador,222,Beer,47.8
Equatorial Guinea,226,Beer,83
Ethiopia,231,Beer,54.6
Eritrea,232,Beer,62.1
Estonia,233,Beer,32.7
Falkland Islands (Malvinas),238,Beer,
Fiji,242,Beer,69.8
Finland,246,Beer,48.8
France,250,Beer,18.8
French Southern Territories,260,Beer,
Djibouti,262,Beer,27.5
Gabon,266,Beer,76.3
Georgia,268,Beer,18.4
Gambia,270,Beer,8.5
Germany,276,Beer,52.6
Ghana,288,Beer,28.3
Greece,300,Beer,31.5
Greenland,304,Beer,
Guatemala,320,Beer,56.1
Guinea,324,Beer,91.1
Guyana,328,Beer,48.4
Haiti,332,Beer,2.3
Honduras,340,Beer,46.6
Hungary,348,Beer,35.5
Iceland,352,Beer,56.5
India,356,Beer,7.5
Indonesia,360,Beer,18.5
Iran,364,Beer,
Iraq,368,Beer,71
Ireland,372,Beer,47
Israel,376,Beer,54.4
Italy,380,Beer,25.4
Cote d'Ivoire,384,Beer,21.9
Jamaica,388,Beer,36.3
Japan,392,Beer,18.2
Kazakhstan,398,Beer,30.5
Jordan,400,Beer,19.9
Kenya,404,Beer,39.8
North Korea,408,Beer,2.7
South Korea,410,Beer,22.2
Kuwait,414,Beer,
Kyrgyzstan,417,Beer,11.6
Laos,418,Beer,50.1
Lebanon,422,Beer,33.9
Lesotho,426,Beer,57.4
Latvia,428,Beer,42.8
Liberia,430,Beer,9.4
Libya,434,Beer,
Lithuania,440,Beer,43.6
Luxembourg,442,Beer,35.4
Madagascar,450,Beer,53.8
Malawi,454,Beer,8.8
Malaysia,458,Beer,60.7
Mali,466,Beer,15.8
Mauritania,478,Beer,
Mexico,484,Beer,77.1
Mongolia,496,Beer,43.6
Moldova,498,Beer,16.2
Montenegro,499,Beer,10.8
Morocco,504,Beer,42.9
Mozambique,508,Beer,78.7
Oman,512,Beer,39.8
Namibia,516,Beer,60.2
Nepal,524,Beer,31
Netherlands,528,Beer,47.8
New Caledonia,540,Beer,
Vanuatu,548,Beer,38.5
New Zealand,554,Beer,37.4
Nicaragua,558,Beer,39.7
Niger,562,Beer,45
Nigeria,566,Beer,7.9
Norway,578,Beer,43.9
Pakistan,586,Beer,
Panama,591,Beer,76.9
Papua New Guinea,598,Beer,95.2
Paraguay,600,Beer,54.2
Peru,604,Beer,60.1
Philippines,608,Beer,27.3
Poland,616,Beer,56.1
