Country	id	Beer	Wine	Sprites
Afghanistan	4			
Albania	8	34.3	26.5	37.6
Antarctica	10			
Algeria	12	57.3	24.4	18.3
Angola	24	70.3	17.6	11.3
Azerbaijan	31	61.5	36.9	0
Argentina	32	39.9	40.2	9.6
Australia	36	39.9	37.5	12.9
Austria	40	53.5	31.6	14.9
Bahamas	44	39.2	16.6	41.2
Bangladesh	50			
Armenia	51	10.6	7	82.3
Belgium	56	44.4	38.3	14.2
Bhutan	64	46.2	4.2	49.6
Bolivia	68	72.8	4.3	21.3
Bosnia and Herzegovina	70	75.8	8.6	12.4
Botswana	72	48.1	23.5	4.4
Brazil	76	61.8	3.4	34.3
Belize	84	69.1	1.9	26.7
Solomon Islands	90	93.3	2.9	3.3
Brunei	96	100	0	0
Bulgaria	100	38.8	17.2	42.9
Myanmar	104	22.4	9.8	67.7
Burundi	108	39.3	0.1	0.1
Belarus	112	22.8	2.2	49
Cambodia	116	88.1	0.6	11.2
Cameroon	120	43.5	1.4	0.1
Canada	124	45.1	25.6	25.6
Central African Republic	140	25.9	0.7	0
Sri Lanka	144	13.2	0.3	84.9
Chad	148	70.2	1	5.3
Chile	152	36.1	33.1	30.8
China	156	29.6	3.1	67.2
"Taiwan, Province of China"	158			
Colombia	170	71.3	1.1	27.2
Congo	178	84.4	4.7	10.3
Democratic Republic of Congo	180	38.9	0.6	0.7
Costa Rica	188	64.1	7.2	27.9
Croatia	191	44.5	39	13
Cuba	192	37.3	4.9	57.4
Cyprus	196	29.7	28.4	41.9
Czechia	203	53.3	21.3	25.4
Benin	204	63.7	9.6	13.1
Denmark	208	37.4	44.7	17.1
Dominican Republic	214	52.2	4.4	41.9
Ecuador	218	79.9	1.5	17.8
El Salvador	222	47.8	1.3	50.7
Equatorial Guinea	226	83	17	0
Ethiopia	231	54.6	0.3	8.3
Eritrea	232	62.1	0.1	0.2
Estonia	233	32.7	7.4	50.3
Falkland Islands (Malvinas)	238			
Fiji	242	69.8	1.2	28.9
Finland	246	48.8	20.6	21.5
France	250	18.8	58.8	20.7
French Southern Territories	260			
Djibouti	262	27.5	16.7	55
Gabon	266	76.3	9.2	13.4
Georgia	268	18.4	43	38.5
Gambia	270	8.5	2.1	0
Germany	276	52.6	28.4	18.9
Ghana	288	28.3	6.6	8
Greece	300	31.5	45.5	21.8
Greenland	304			
Guatemala	320	56.1	2.1	41.7
Guinea	324	91.1	8.9	0
Guyana	328	48.4	0.2	50.8
Haiti	332	2.3	0.3	97.3
Honduras	340	46.6	1.2	52.1
Hungary	348	35.5	32.2	32.3
Iceland	352	56.5	27.9	15.5
