name,gdp_per_capita,alcohol_death,consumption_drinkers,region,subregion,value
Afghanistan,0.30070585,0.2,24.4,Asia,Southern Asia,25500100
Albania,0.906653047,6.4,13.8,Europe,Southern Europe,2821977
Algeria,0.943856001,1.0,25.8,Africa,Northern Africa,37900000
Argentina,1.028465629,4.4,14.6,Americas,South America,40117096
Armenia,0.808262408,6.0,21.2,Asia,Western Asia,3024100
Australia,1.310396433,4.6,13.2,Oceania,Australia and New Zealand,23254142
Austria,1.317285538,5.3,14.4,Europe,Western Europe,8501502
Azerbaijan,0.990272701,5.9,3.8,Asia,Western Asia,9235100
Bahrain,1.296692252,1.9,20.8,Asia,Western Asia,1234571
Bangladesh,0.556156278,0.9,0.9,Asia,Southern Asia,152518015
Belarus,1.018854499,24.0,15.7,Europe,Eastern Europe,9465500
Belgium,1.295842767,5.4,15.4,Europe,Western Europe,11175653
Benin,0.366244704,2.6,11.1,Africa,Western Africa,10323000
Bolivia,0.730976343,6.1,10.1,Americas,South America,10027254
Bosnia and Herzegovina,0.91839546,4.6,12.5,Europe,Southern Europe,3791622
Botswana,0.997548997,5.7,25.6,Africa,Southern Africa,2024904
Brazil,0.952679873,6.9,19.2,Americas,South America,201032714
Bulgaria,1.046554685,5.9,18.5,Europe,Eastern Europe,7282041
Burkina Faso,0.302467644,4.5,20.9,Africa,Western Africa,17322796
Cambodia,0.544634938,8.0,20.3,Asia,South-Eastern Asia,15135000
Cameroon,0.503958046,6.0,21.0,Africa,Middle Africa,20386799
Canada,1.301647663,4.5,13.4,Americas,Northern America,35158304
Chad,0.302287489,1.8,6.6,Africa,Middle Africa,12825000
Chile,1.096992493,5.4,13.4,Americas,South America,16634603
China,0.990533412,3.8,12.7,Asia,Eastern Asia,1361170000
Colombia,0.93220371,5.1,14.7,Americas,South America,47330000
Costa Rica,0.981107712,4.1,12.5,Americas,Central America,4667096
Croatia,1.109024286,6.1,14.2,Europe,Southern Europe,4290612
Cyprus,1.21279943,3.6,14.5,Asia,Western Asia,865878
Denmark,1.326948524,5.6,13.2,Europe,Northern Europe,5623501
Dominican Republic,0.983191848,6.6,14.9,Americas,Caribbean,9445281
Ecuador,0.853383601,5.7,9.3,Americas,South America,15617900
Egypt,0.875228941,1.8,12.8,Africa,Northern Africa,83661000
El Salvador,0.748940408,7.2,12.2,Americas,Central America,6340000
Estonia,1.192441225,20.2,20.9,Europe,Northern Europe,1286540
Ethiopia,0.315125644,3.4,12.0,Africa,Eastern Africa,86613986
Finland,1.285189509,5.8,14.0,Europe,Northern Europe,5445883
France,1.268129349,5.8,15.9,Europe,Western Europe,65806000
Gabon,0.988044381,11.4,17.2,Africa,Middle Africa,1672000
Georgia,0.847198069,8.1,27.3,Asia,Western Asia,-1
Germany,1.314184546,5.2,16.3,Europe,Western Europe,80523700
