Name,continent,Cases - cumulative total,Deaths - cumulative total,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Life expectancy at birth,life_exp,gdp,happiness_score,health,freedom,government_trust,alcohol death both,consumption drinkers Both sexes
Afghanistan,Asia,205830,7833,"$2,000",-1.9,23.9,29.4,37.5,13.2,-0.6,638,52.1,62.7,569,2.566900015,0.266051531,0,0.001225785,0.2,24.4 [29.3-]
Albania,Europe,332216,3594,"$12,500",6.8,13.8,29,13.2,6.9,-3.3,15,78.6,78.4,4430,4.882699966,0.846329629,0.461945891,0.025361285,6.4,13.8 [15.1-]
Algeria,Africa,271079,6881,"$15,200",0.6,11.7,35.3,21.5,4.3,-0.9,112,77.2,76,4160,5.005099773,0.745418549,0.083943799,0.129190654,1,25.8 [28.6-]
American Samoa,,8263,34,,,,,,,,,,,,,,,,,
Andorra,,46824,156,"$49,900",unknown,3.7,unknown,7.3,7.4,0,unknown,82.9,,,,,,,No data,14.5 [15.4-]
Angola,Africa,104676,1924,"$6,800",2.5,6.6,42.7,43.7,9,0.1,241,60.6,64.6,3600,,,,,6.8,13.2 [14.2-]
Anguilla,,3866,12,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,9106,146,"$26,400",6.8,11,unknown,15.6,5.8,2.1,unknown,76.9,,,,,,,4.5,13.9 [15-]
Argentina,South America,9727247,130025,"$20,900",2.7,8.4,41.7,16.5,7.5,-0.1,39,77.5,76.5,13100,5.974699974,0.849773705,0.520840347,0.060415059,4.4,14.6 [15.5-]
Armenia,Asia,445737,8710,"$9,500",5.4,18.9,31.5,12.6,9.5,-5.6,26,75.1,75.6,4050,4.676799774,0.77585727,0.378075808,0.104618184,6,21.2 [23.1-]
Aruba,,43641,236,,,,,,,,,,,,,,,,,
Australia,Oceania,10616693,15253,"$50,400",1.4,5.6,30.3,12,7.3,5.4,6,82.4,82.9,58600,7.222799778,1.022607684,0.621877193,0.335996419,4.6,13.2 [13.9-]
Austria,Europe,5554975,21202,"$50,000",6.5,5.5,30.5,9.5,9.7,4.4,5,81.7,82.1,46300,7.294199944,1.000933528,0.603368878,0.281256139,5.3,14.4 [15.1-]
Azerbaijan,Asia,824288,9978,"$17,500",-3.8,5,33.7,15.3,7,0,26,73,70.8,5260,5.164800167,0.731134057,0.467734724,0.247307181,5.9,3.8 [4.2-]
Bahamas,North America,37476,833,"$32,400",5.8,10.1,unknown,15.1,7.3,0,70,72.9,73.8,32700,,,,,4.7,9.6 [11-]
Bahrain,Asia,696198,1536,"$49,000",0.6,3.6,unknown,13.1,2.8,11.6,14,79.1,77,21700,6.227300167,0.838836372,0.610399902,0.126697257,1.9,20.8 [21.9-]
Bangladesh,Asia,2036585,29433,"$4,200",10.2,4.4,32.1,18.6,5.4,-3,173,73.7,74.2,1500,4.832799911,0.694940507,0.604130566,0.176735908,0.9,0.9 [1-]
Barbados,North America,104416,567,"$18,600",2.4,10.1,unknown,11.6,8.6,-0.3,27,75.7,76.5,16800,,,,,3.6,18.2 [19.5-]
Belarus,Europe,994037,7118,"$18,900",5.6,0.8,26.5,10,13.2,0.7,2,73.2,74,6140,5.539899826,0.75258857,0.290755868,0.193607435,24,15.7 [16.7-]
Belgium,Europe,4636264,33057,"$46,600",0.2,7.1,25.9,11.3,9.7,5.2,5,81.2,81.4,42400,6.863500118,0.964901149,0.499805421,0.208724052,5.4,15.4 [16.2-]
Belize,North America,69048,688,"$8,300",-0.6,9,unknown,22.9,4.2,-0.6,36,74.7,74.4,4710,,,,,6.5,15.4 [16.7-]
Benin,Africa,27980,163,"$2,300",3,1,36.5,34.5,7.7,0,397,62.7,64,1160,5.21600008,0.328062952,0.40583989,0.125931874,2.6,11.1 [12.5-]
Bermuda,,18463,151,,,,,,,,,,,,,,,,,
Bhutan,Asia,62503,21,"$9,000",6.3,3.2,38.8,17,6.4,0,183,71.1,73,3100,,,,,2.4,1.8 [2.1-]
Bolivia (Plurinational State of),South America,1110877,22247,"$7,600",2.2,4,47,21.6,6.3,-0.4,155,69.8,71.8,3290,5.747499943,0.662445664,0.5744645,0.072942637,6.1,10.1 [10.9-]
Bonaire,,9613,31,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Europe,400527,16202,"$12,800",3,20.5,33.8,8.7,10.1,-0.4,10,77.1,76.9,5380,5.674099922,0.813928187,0.305365741,0.001172487,4.6,12.5 [13.6-]
Botswana,Africa,326593,2782,"$17,000",-4.2,20,60.5,21.7,9.5,3,144,63.8,61.8,7170,3.478899956,0.494101733,0.50908941,0.101786368,5.7,25.6 [27.8-]
Brazil,South America,35188586,689536,"$15,600",0,12.8,49,13.9,6.7,-0.1,60,74.3,75.7,8580,6.375599861,0.766119063,0.483292729,0.106518604,6.9,19.2 [20.5-]
British Virgin Islands,,7305,64,,,,,,,,,,,,,,,,,
Brunei Darussalam,Asia,257921,143,"$78,900",1.5,6.9,unknown,16.9,3.7,2.3,31,77.5,74.2,29800,,,,,2.2,1.2 [1.3-]
