country,COVID cases/100k,deaths_per_100k,capital city latitude,GDP real growth rate,unemployment rate,gini index,inflation rate,median age,total fertility rate,life expectancy,HDI index,GDP per capita,happiness score,corruption index(cpi),abstainer(lifetime),abstain_lt_m,abstain_lt_f,abstainer(12 month),abstain_12m_m,abstain_12m_f,consumer(12 month),consumer gender ratio(male/female),consumers_12m_m,consumers_12m_f,heavy episodic drinking(30 days),heavy_12m_m,heavy_12m_f,alcohol attributable death,alc_death_m,alc_death_f,years of life lost by alcohol,alcohol consumption,alc_csm_m,alc_csm_f,alcohol consumption(drinkers only),alc_csm_dr_m,alc_csm_dr_f,gender gap index,ggi_polit,ggi_econ,ggi_edu,ggi_health,work hours (unpaid+paid+study),upw_f,upw_m,pc_f,pc_m,leis_f,leis_m,oth_time_f,oth_time_m,pws_f,pws_m
Afghanistan,528.741,20.122,34.51666667,2.7,23.9,29.4,5,19,5.02,62.7,0.509,569,2.566900015,19,99.1,98.6,99.6,99.3,99,99.7,0.7,3.333333333,1,0.3,0,0,0,0.2,0.3,0.1,1,0.2,0.4,0.1,24.4,27.7,10.4,0.4395,0.132,0.178,0.498,0.952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Albania,11544.096,124.887,41.31666667,3.8,13.8,29,2,33.4,1.52,78.4,0.792,4430,4.882699966,36,25.2,14,35.9,49,35,62.4,51,1.728723404,65,37.6,24.6,39.7,10.1,6.4,8.5,3.7,3,7.2,11.6,2.7,13.8,18.2,6.5,0.7785,0.398,0.761,0.999,0.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Algeria,618.181,15.692,36.75,1.4,11.7,35.3,5.6,28.3,2.66,76,0.746,4160,5.005099773,36,93.5,90.1,97,96.8,95.2,98.5,3.2,3.2,4.8,1.5,0.6,1.1,0.1,1,1.6,0.4,1,0.9,1.6,0.3,25.8,30.6,11,0.6175,0.1105,0.461,0.9405,0.958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Andorra,60601.825,201.903,42.5,-1.1,3.7,NaN,-0.9,44.9,1.41,NaN,NaN,NaN,NaN,NaN,10.3,5,15.6,25.4,14.8,35.7,74.6,1.32503888,85.2,64.3,34.9,51.9,17.4,NaN,NaN,NaN,NaN,11,17.2,5.2,14.5,20.2,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Angola,318.491,5.854,8.833333333,-2.5,6.6,42.7,29.8,15.9,6.09,64.6,0.582,3600,NaN,NaN,33.9,20.6,46.7,52.3,38.4,65.7,47.7,1.795918367,61.6,34.3,37.6,54.1,21.9,6.8,10.4,2.6,5,6.9,11.1,3.1,13.2,17,6.4,0.6475,0.2455,0.6415,0.726,0.976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Antigua and Barbuda,9298.573,149.088,17.11666667,2.8,11,NaN,2.5,32.2,1.99,NaN,NaN,NaN,NaN,NaN,27.7,15.5,38.5,50.6,36.1,63.5,49.4,1.750684932,63.9,36.5,23.5,38.8,9.8,4.5,7.2,1.5,3,6.4,10.3,2.9,13.9,18.5,6.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Argentina,21522.47,287.693,34.58333333,2.9,8.4,41.7,25.7,31.9,2.25,76.5,0.842,13100,5.974699974,42,6.7,3.1,10,32.6,20.1,44.3,67.4,1.434470377,79.9,55.7,23,37.1,9.3,4.4,7.2,1.3,3,9.7,14.9,4.7,14.6,20,7.1,0.754,0.4015,0.637,1,0.977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,15042.248,293.936,40.16666667,7.5,18.9,31.5,0.9,35.6,1.64,75.6,0.771,4050,4.676799774,49,45.5,29.1,58.7,74,62,83.8,26,2.345679012,38,16.2,11.5,20.8,3.6,6,8.7,3.3,3,5.6,9.1,2.6,21.2,27.2,9.6,0.6855,0.1305,0.662,0.999,0.952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Australia,41634.28,59.816,35.26666667,2.2,5.6,30.3,2,38.8,1.77,82.9,0.943,58600,7.222799778,77,8.5,4.1,12.9,20.6,11.7,29.4,79.4,1.250708215,88.3,70.6,39.2,57,21.3,4.6,6.9,2.2,2,10.5,16,5.2,13.2,18.5,6.5,0.7345,0.258,0.7205,0.9925,0.968,479.325795,311,171.59583,666,649.25433,269,297.03137,22,18.062717,172,304.05576
Austria,62407.989,238.196,48.2,3,5.5,30.5,2.2,44.2,1.48,82.1,0.921,46300,7.294199944,76,8.8,4.1,13.2,21.9,12.3,31.1,78.1,1.272859216,87.7,68.9,37.7,55.3,20,5.3,8.6,2.3,2,12,18.5,5.8,14.4,20.5,7.1,0.779,0.48,0.669,0.997,0.97,508.996715,269.172,135.28297,640.78497,623.62311,274.27515,308.09048,7.2275581,8.0014725,248.75507,364.78339
